WigleWifi-1.4,appRelease=2.25,model=LG-D855,release=6.0,device=g3,display=MRA58K,board=MSM8974,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
a0:4f:d4:45:30:c1,vbalin,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,1,-87,32.16791747,35.08355685,173,23,WIFI
14:af:db:30:6f:8a,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,8,-86,32.16791747,35.08355685,173,23,WIFI
14:ae:db:30:6f:8a,shayel,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,8,-85,32.16791747,35.08355685,173,23,WIFI
06:ae:db:b3:b3:85,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,4,-84,32.16791747,35.08355685,173,23,WIFI
14:ae:db:b3:b3:85,AHARON,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,4,-83,32.16791747,35.08355685,173,23,WIFI
e4:6f:13:72:75:c6,Grigori 2.4,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,1,-76,32.16791747,35.08355685,173,23,WIFI
c8:be:19:11:73:2c,Roni_m,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,6,-84,32.16791747,35.08355685,173,23,WIFI
d0:0f:6d:c1:51:6d,hershkovich,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,9,-84,32.16791747,35.08355685,173,23,WIFI
10:5a:f7:05:2c:01,Reves_Home,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,1,-84,32.16791747,35.08355685,173,23,WIFI
a0:ab:1b:5d:35:70,TSUUB1,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,6,-87,32.16791747,35.08355685,173,23,WIFI
62:45:b0:90:65:6f,,[WEP][ESS],2017-11-01 19:17:53,48,-91,32.16791747,35.08355685,173,23,WIFI
14:ae:db:31:8a:3a,Zoro,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,1,-75,32.16791747,35.08355685,173,23,WIFI
14:ae:db:42:ea:55,Matanliran,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-01 19:17:53,6,-76,32.16791747,35.08355685,173,23,WIFI
84:16:f9:22:d6:18,Kathem east,[WEP][ESS],2017-11-01 19:17:53,7,-89,32.16791747,35.08355685,173,23,WIFI
a0:21:b7:7e:3d:fe,Bezeq!!!,[WPS][WEP][ESS],2017-11-01 19:17:53,11,-77,32.16791747,35.08355685,173,23,WIFI
a0:4f:d4:43:ab:82,,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,1,-88,32.16791747,35.08355685,173,23,WIFI
00:12:2a:f2:07:98,Vaknin1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-01 19:17:53,2,-74,32.16791747,35.08355685,173,23,WIFI
30:e1:71:08:d5:30,DIRECT-2F-HP DeskJet 3830 series,[WPA2-PSK-CCMP][WPS][ESS],2017-11-01 19:17:53,5,-85,32.16791747,35.08355685,173,23,WIFI
00:12:2a:f2:07:9c,Vaknin-HD-0790,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-01 19:17:53,40,-84,32.16791747,35.08355685,173,23,WIFI
10:5a:f7:01:c3:c1,zeira_white_2.4,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,11,-83,32.16791747,35.08355685,173,23,WIFI
a0:4f:d4:43:ab:81,morad,[WPA2-PSK-CCMP][ESS],2017-11-01 19:17:53,1,-84,32.16791747,35.08355685,173,23,WIFI
42502_22811_5371521,GOLAN T,UNKNOWN;il,2017-11-01 19:17:53,0,-87,32.16791747,35.08355685,173,23,GSM
