WigleWifi-1.4,appRelease=2.25,model=LG-D855,release=6.0,device=g3,display=MRA58K,board=MSM8974,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
ec:8c:a2:09:03:3c,Ariel_University,[ESS],2017-11-01 11:31:09,44,-90,32.10269733,35.20702988,700,14,WIFI
d8:fe:e3:03:5a:31,Moria,[WPA2-PSK-CCMP][ESS],2017-11-01 11:31:09,6,-78,32.10269733,35.20702988,700,14,WIFI
ec:8c:a2:08:a9:38,Ariel_University,[ESS],2017-11-01 11:31:09,6,-85,32.10269733,35.20702988,700,14,WIFI
ec:8c:a2:88:77:47,,[WPA2-PSK-CCMP][ESS],2017-11-01 11:31:09,52,-81,32.10269733,35.20702988,700,14,WIFI
ec:8c:a2:08:77:4c,Ariel_University,[ESS],2017-11-01 11:31:09,52,-80,32.10269733,35.20702988,700,14,WIFI
ec:8c:a2:08:77:48,Ariel_University,[ESS],2017-11-01 11:31:09,6,-78,32.10269733,35.20702988,700,14,WIFI
ec:8c:a2:08:99:68,Ariel_University,[ESS],2017-11-01 11:31:09,11,-80,32.10269733,35.20702988,700,14,WIFI
ec:8c:a2:08:99:6c,Ariel_University,[ESS],2017-11-01 11:31:09,36,-83,32.10269733,35.20702988,700,14,WIFI
1c:b9:c4:96:f1:97,,[WPA2-PSK-CCMP][ESS],2017-11-01 11:31:09,36,-89,32.10269733,35.20702988,700,14,WIFI
ec:8c:a2:08:a3:bc,Ariel_University,[ESS],2017-11-01 11:31:09,52,-89,32.10269733,35.20702988,700,14,WIFI
1c:b9:c4:16:f4:7c,Ariel_University,[ESS],2017-11-01 11:31:09,36,-90,32.10269733,35.20702988,700,14,WIFI
ec:8c:a2:88:99:67,,[WPA2-PSK-CCMP][ESS],2017-11-01 11:31:09,36,-83,32.10269733,35.20702988,700,14,WIFI
00:1a:dd:f4:f5:c5,Afikim_Wifi,[ESS],2017-11-01 11:31:09,8,-76,32.10269733,35.20702988,700,14,WIFI
00:1a:dd:f4:f5:c4,,[ESS],2017-11-01 11:31:09,8,-76,32.10269733,35.20702988,700,14,WIFI
1c:b9:c4:16:f1:9c,Ariel_University,[ESS],2017-11-01 11:31:09,36,-93,32.10269733,35.20702988,700,14,WIFI
04:b1:67:ac:28:a5,Redmi,[WPA2-PSK-CCMP][ESS],2017-11-01 11:31:09,6,-73,32.10269733,35.20702988,700,14,WIFI
ec:8c:a2:08:a3:b8,Ariel_University,[ESS],2017-11-01 11:31:09,11,-83,32.10269733,35.20702988,700,14,WIFI
00:25:86:cc:00:f8,AUC_54_R,[ESS],2017-11-01 11:31:09,5,-84,32.10269733,35.20702988,700,14,WIFI
42502_811_3868449,GOLAN T,UNKNOWN;il,2017-11-01 11:31:09,0,-113,32.10269733,35.20702988,700,14,GSM
00:1a:dd:f4:f5:c4,,[ESS],2017-11-01 11:31:15,8,-71,32.10278108,35.20704321,699,11,WIFI
14:ae:db:46:62:2d,Nadav,[WPA2-PSK-CCMP][ESS],2017-11-01 11:31:15,6,-86,32.10278108,35.20704321,699,11,WIFI
30:e1:71:0d:e0:57,DIRECT-56-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-01 11:31:15,6,-86,32.10278108,35.20704321,699,11,WIFI
30:e1:71:0d:e0:79,DIRECT-78-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-01 11:31:15,6,-87,32.10278108,35.20704321,699,11,WIFI
00:1a:dd:f4:f5:c5,Afikim_Wifi,[ESS],2017-11-01 11:31:21,8,-68,32.1027353,35.20707587,697,10,WIFI
